payoff,replication,estimate,std_error,z_score,covered_95
otm_digital_k130,16,0.12413543989734317,0.0032044023438008965,2.3290838594186485,0
atm_call,17,10.625805193722286,0.14959439347561887,1.1713114206067714,1
otm_digital_k130,17,0.13088916881129831,0.0032769557923307477,4.3384932824721316,0
atm_call,18,10.092653805534731,0.14380756245289159,-2.4889495416353373,0
otm_digital_k130,18,0.11433777682498582,0.0030935077214816354,-0.75459365370821407,1
atm_call,19,10.435814584210407,0.14597482596102612,-0.10117489695851233,1
otm_digital_k130,19,0.11424265388253571,0.0030923963661742887,-0.78562511046508621,1
atm_call,20,10.622442400383088,0.14927882073051132,1.1512606232855309,1
otm_digital_k130,20,0.11395728505518551,0.0030890581435734344,-0.87885463398470498,1
atm_call,21,10.397194614858561,0.14665425220315417,-0.36404643251006236,1
otm_digital_k130,21,0.1189036780625892,0.003146052927824129,0.70932053416512897,1
atm_call,22,10.287181238785735,0.14498447356846314,-1.1270333255557572,1
otm_digital_k130,22,0.11757195686828822,0.0031308871311759891,0.28740695888229595,1
atm_call,23,10.436474921529244,0.14767483035344173,-0.095538627825328237,1
otm_digital_k130,23,0.11909392394748937,0.0031482089072394069,0.76926465159511237,1
atm_call,24,10.529413323729186,0.14954946705026631,0.52711489447928972,1
otm_digital_k130,24,0.1155743750768367,0.0031078926801593252,-0.35321137357299126,1
atm_call,25,10.419025443571574,0.14811463760392971,-0.21306556275933861,1
otm_digital_k130,25,0.1170012192135878,0.0031243475905990978,0.10533434092442988,1
atm_call,26,10.349159975278388,0.14550540508838797,-0.69704350051843189,1
otm_digital_k130,26,0.12052076808424046,0.0031642954680520898,1.2162738921774701,1
atm_call,27,10.236091526283882,0.14667118033437887,-1.4624007621174946,1
otm_digital_k130,27,0.11880855512013916,0.003144973952262826,0.67931786820961215,1
atm_call,28,10.388207032286449,0.14626333502311054,-0.42646737057681589,1
otm_digital_k130,28,0.1156694980192868,0.003108994421150505,-0.32249015733369729,1
atm_call,29,10.499272477208748,0.14838696177687291,0.32812118019109204,1
otm_digital_k130,29,0.11243531797598434,0.0030711482223248882,-1.3795492228380881,1
atm_call,30,10.369970964387397,0.14586244717043098,-0.55266183559886939,1
otm_digital_k130,30,0.11880855512013914,0.003144973952262826,0.67931786820960771,1
atm_call,31,10.4426894745159,0.14768850277461998,-0.053450996667609406,1
otm_digital_k130,31,0.11652560450133743,0.0031188795201877286,-0.046976363475227711,1
atm_call,32,10.420313542563031,0.14521967947946557,-0.20844302735704359,1
otm_digital_k130,32,0.11253044091843444,0.0030722728602922762,-1.3480824748374627,1
atm_call,33,10.429428527485323,0.14599150190808582,-0.14490600085439695,1
otm_digital_k130,33,0.11966466160218982,0.0031546611203002619,0.9486101260194213,1
atm_call,34,10.067876257048708,0.14317672127388151,-2.6729716376502664,0
otm_digital_k130,34,0.12118662868139095,0.0031717526401254885,1.4233488781455281,1
atm_call,35,10.199834963274439,0.14452394831668308,-1.7349969457080381,1
otm_digital_k130,35,0.1192841698323895,0.0031503622622087468,0.82912741318992,1
atm_call,36,10.507037447548337,0.14650099814179093,0.38534805959579377,1
otm_digital_k130,36,0.11671585038623757,0.0031210687677762378,0.014011952372170141,1
atm_call,37,10.534617729411304,0.14758747197130706,0.56938543701114819,1
otm_digital_k130,37,0.11643048155888741,0.0031177838845551473,-0.077502665153548214,1
atm_call,38,10.285157060917806,0.14613666568654385,-1.1319986704950324,1
otm_digital_k130,38,0.12346957930019262,0.0031970827513003106,2.1261448982247177,0
atm_call,39,10.471807224989137,0.14573534655967124,0.14563147036464677,1
otm_digital_k130,39,0.11376703917028536,0.0030868291904473516,-0.94112073256857143,1
atm_call,40,10.373881131154915,0.14701903477496198,-0.52171775680639931,1
otm_digital_k130,40,0.12042564514179036,0.0031632275783485524,1.1866130177193153,1
atm_call,41,10.375177177282445,0.14601987320929183,-0.51641186398665195,1
otm_digital_k130,41,0.11880855512013914,0.0031449739522628269,0.67931786820960749,1
atm_call,42,10.375603205317827,0.14626815842645138,-0.51262262186357177,1
otm_digital_k130,42,0.111959703263734,0.0030655144156660182,-1.537234609466154,1
atm_call,43,10.252356539010247,0.14529635114449849,-1.3642946406697098,1
otm_digital_k130,43,0.11471826859478609,0.0030979462347920901,-0.63069187663234272,1
atm_call,44,10.352305717268189,0.1475783077765293,-0.66593699574180443,1
otm_digital_k130,44,0.11471826859478609,0.003097946234792091,-0.63069187663234261,1
atm_call,45,10.545985611905422,0.15092968196074358,0.63209594349165621,1
otm_digital_k130,45,0.11747683392583819,0.0031297988794685835,0.25711422283517593,1
atm_call,46,10.300896659782303,0.14630462261955227,-1.023118133406421,1
otm_digital_k130,46,0.11576462096173688,0.0031100954808890016,-0.29179077078268079,1
atm_call,47,10.584432433451168,0.14923181713340114,0.89691906080569561,1
otm_digital_k130,47,0.11519388330703643,0.003103478889150287,-0.47631540766868685,1
atm_call,48,10.512089217476946,0.14631367020420652,0.42036841264082725,1
otm_digital_k130,48,0.11452802270988595,0.0030957283582343171,-0.69259804521420509,1
atm_call,49,10.426789806679253,0.14729427530893938,-0.16153896990492067,1
